area,UTM_X,UTM_Y
9.3723,585454.513095,4989391.80467
2.862702,606614.857605,4989424.04003
10.846596,587769.250565,4989418.46402
12.090249,599282.178206,4989399.0739
1.838299,626552.88565,5010231.74006
6.335596,599742.842877,4989652.16983
6.646698,583877.739692,4989845.65708
11.98295,612085.805362,5010345.78655
2.961099,606553.326732,4990372.18226
12.602003,626752.324805,5009714.17935
31.42855,597587.865225,4990282.71085
20.784199,670715.917347,5026654.49664
6.918201,646192.454072,4990567.87974
13.568,640188.757721,4990643.91377
12.418101,599375.74639,5010785.83433
7.2822,583738.303468,5010915.43742
1.245699,594348.131248,4991063.07374
16.6166,589205.955642,5010928.88814
30.705495,602819.139404,4990811.69491
32.681592,587412.929015,4990895.49956
2.684999,604928.942374,4991160.50783
2.8772,652378.889634,4991319.6854
4.307498,633949.422887,5027194.46985
20.927497,695000.705633,5027054.53581
2.912149,680353.84704,5027313.31878
1.843701,690669.738157,5027331.12013
11.654695,600748.779399,5011134.73718
2.721999,609817.938917,5011530.78521
8.601901,590877.858508,5011514.22304
36.585298,599651.56141,4991246.93477
4.6287,650605.739445,4991583.40544
1.287248,625169.461697,4991573.57679
16.936996,628240.677633,4991538.45413
1.19645,604251.362636,4991681.93925
1.915151,596481.988176,4991653.86077
1.070349,638889.798354,4991793.25692
1.906697,652883.944031,4991788.20812
13.274249,650826.625763,5042509.4092
1.7745,598638.526071,4992040.25665
1.794852,638736.149538,4992081.82654
4.972099,603916.490988,4991944.77307
27.571149,585868.247927,5011787.11549
4.937548,640285.128039,4992080.86932
4.914053,639658.538743,4992186.63192
1.6116,638968.80152,4992277.08278
2.395548,602022.49039,4992220.98407
2.194897,653584.240678,4992382.15427
1.311547,578395.008185,4992437.52494
2.561298,648000.734557,4992475.57799
25.342948,604422.798909,4992295.54339
1.362514,584052.402287,4992661.74968
1.629498,624745.609226,5012703.00601
9.754003,625515.252996,5012538.68629
5.323848,603707.046683,4992872.96508
16.33625,598437.441739,4992839.21555
4.99345,638609.412575,4993005.09243
2.571597,621300.846382,4993125.34664
7.254151,594373.3533,4993120.53899
20.225398,641728.752125,4993339.21856
13.381998,603398.370973,4993381.72978
8.556249,596586.907715,4993461.80189
4.230801,605882.881532,4993377.69834
3.974649,607454.41573,5013240.45262
6.347858,634371.687224,5013347.28672
2.79995,690680.578967,5028362.76895
4.991349,638469.759005,4993717.27943
1.185298,594173.164621,4993920.96321
3.45525,606155.56711,4993889.70202
2.149149,661460.276857,5044171.24096
2.363598,589511.664181,4994023.65056
23.192454,603981.272571,4993579.13473
1.216998,594631.503757,4994103.37033
6.080045,624248.805966,4994041.56058
2.079949,673466.385731,5028999.13406
7.6223,605463.501033,4994225.6525
1.077999,590829.916845,4994395.29721
25.16295,597442.005533,5013812.7566
6.04045,610832.148154,5013887.05265
11.511349,640378.189515,4994333.86881
1.370148,597737.554963,4994441.30674
7.979846,651079.060664,4994398.37278
13.150999,627262.764287,4994493.6235
1.035599,597931.160324,4994617.02079
3.8971,611876.545962,4994535.81427
1.837798,644214.234556,4994679.85479
1.259053,594328.247921,4994667.33425
2.038799,594476.314342,4994837.01214
5.138702,620853.788381,4995033.63618
1.259001,591477.411302,4994984.47617
34.057014,598475.092323,4994651.4157
6.271151,675859.958691,5014482.00598
6.5739,651362.482423,4994958.43931
1.892448,587165.379549,4995151.24046
10.735147,637730.868262,4995083.28132
1.522403,589979.833285,4995249.84751
5.762949,608351.920179,5014812.43324
35.675099,590338.310404,4994412.68805
14.670545,585420.189941,4995137.1043
1.141452,618344.473032,4995472.50581
1.317548,587234.603593,5014969.22991
1.600098,606670.796494,5015002.33277
6.398449,674540.682352,5015192.77812
1.572636,581335.592215,4995552.12145
1.119249,646715.310848,4995692.62855
6.76565,580148.447622,4995579.29275
7.289501,592004.41456,4995689.23776
3.625101,585902.735764,4995736.07819
15.618002,605776.608468,5015091.40324
5.780452,591386.099628,4995580.35374
1.086487,581645.939978,4995881.39611
4.564198,651120.553994,4995828.03066
1.24255,611574.266803,5015857.51919
5.009745,586248.629568,4995780.19677
3.938648,608351.793313,5015712.9933
4.523996,650336.470569,4996032.42856
7.042,585069.658041,4996009.69405
5.0637,584624.954087,4996060.75285
1.951901,613184.453252,4996144.97024
1.467397,648922.264912,5030363.00895
3.19245,590929.891731,4996076.97501
43.053817,612296.707974,4995908.8224
7.566902,583051.8532,4996223.01675
2.733501,642563.558132,4996234.15386
49.041197,639326.02628,4995507.71178
1.4985,586886.573815,4996448.47169
3.7202,660574.4087,5016398.92632
15.771047,618522.199156,5016287.3787
1.019749,588486.850642,4996693.482
25.504007,588677.759963,4996134.24152
13.017403,639495.537063,4996699.98841
4.012451,579663.757764,4997013.88906
4.821998,642317.471952,5030643.78277
2.289247,599360.824289,4997068.02124
1.257001,585009.177275,4997149.76852
3.228699,641969.993927,4997052.95906
4.918298,645813.223947,4997095.04236
1.628302,610825.496017,4997251.10558
5.552901,585878.005438,4997211.65457
13.98565,587016.625149,4996846.75972
4.53695,674996.644272,5030890.47501
10.502452,583538.805723,4997286.16158
8.898251,626601.495556,4997363.82895
7.94345,584200.031067,4997501.79512
2.399447,583076.557798,4997698.14113
8.86655,588483.637309,4997639.26107
1.078662,578928.225593,4997901.42328
26.091893,587354.889967,4997495.45377
3.229451,592308.467516,4997746.68726
4.29635,591335.687383,5017257.8239
2.541498,670528.970166,5017660.02364
5.1508,586121.105108,4997848.72804
1.999148,646959.499227,4998130.92626
9.467303,596606.781212,4998067.58822
5.457451,587567.957788,4998177.20975
24.171402,591518.205179,4998223.18447
1.26925,588739.906071,4998563.90259
2.5472,584080.884382,4998513.36884
1.088551,590110.670991,4998573.75392
1.115199,592314.126637,4998688.62214
2.713801,591259.051064,4998713.66986
2.198849,589067.630671,4998709.98117
15.584799,588024.073633,4998649.0707
6.194147,587011.631559,4998660.56266
2.745849,595964.612091,4998686.1742
50.844136,680908.906187,5017772.03733
13.689304,642066.244259,5018375.13543
3.128148,586688.723528,4998907.9195
5.413548,665540.617958,5018548.14298
28.260046,621444.972446,5018143.71559
5.81825,588687.864717,4998920.0571
